Date,Quote
2014-12-18,1198.55
2014-12-17,1189.48
2014-12-16,1196.77
2014-12-15,1193
2014-12-12,1222.44
2014-12-11,1227.29
2014-12-10,1226.17
2014-12-09,1230.84
2014-12-08,1203.33
2014-12-05,1192.08
2014-12-04,1205.16
2014-12-03,1209.36
2014-12-02,1198.16
2014-12-01,1211.81
2014-11-28,1166.99
2014-11-27,1190.4
2014-11-26,1197.78
2014-11-25,1200.77
2014-11-24,1196.71
2014-11-21,1201.29
2014-11-20,1193.43
2014-11-19,1182.29
2014-11-18,1196.71
2014-11-17,1186.48
2014-11-14,1188.66
2014-11-13,1162.28
2014-11-12,1162.36
2014-11-11,1164.16
2014-11-10,1151.25
2014-11-07,1177.8
2014-11-06,1141.49
2014-11-05,1140.16
2014-11-04,1168.26
2014-11-03,1165.46
2014-10-31,1172.64
2014-10-30,1198.69
2014-10-29,1212.05
2014-10-28,1228.4
2014-10-27,1226.38
2014-10-24,1230.91
2014-10-23,1231.72
2014-10-22,1241.13
2014-10-21,1248.56
2014-10-20,1246.61
2014-10-17,1238.09
2014-10-16,1238.66
2014-10-15,1241.9
2014-10-14,1232.61
2014-10-13,1235.68
2014-10-10,1223.05
2014-10-09,1224.15
2014-10-08,1221.02
2014-10-07,1208.85
2014-10-06,1207.11
2014-10-03,1191.24
2014-10-02,1214.43
2014-10-01,1213.7
2014-09-30,1208.04
2014-09-29,1215.67
2014-09-26,1218.2
2014-09-25,1221.43
2014-09-24,1216.96
2014-09-23,1223.28
2014-09-22,1214.95
2014-09-19,1215.48
2014-09-18,1224.93
2014-09-17,1223.35
2014-09-16,1235.48
2014-09-15,1233.13
2014-09-12,1229.57
2014-09-11,1240.8
2014-09-10,1249.65
2014-09-09,1255.33
2014-09-08,1255.22
2014-09-05,1268.8
2014-09-04,1261.78
2014-09-03,1269.28
2014-09-02,1265.27
2014-09-01,1286.7
2014-08-29,1287.19
2014-08-28,1289.44
2014-08-27,1282.49
2014-08-26,1280.98
2014-08-25,1276.67
2014-08-22,1281.03
2014-08-21,1276.64
2014-08-20,1291.74
2014-08-19,1295.67
2014-08-18,1298.26
2014-08-15,1304.52
2014-08-14,1313.37
2014-08-13,1312.71
2014-08-12,1309.31
2014-08-11,1308.37
2014-08-08,1309.58
2014-08-07,1312.45
2014-08-06,1305.75
2014-08-05,1288.67
2014-08-04,1288.13
2014-08-01,1293.66
2014-07-31,1282.51
2014-07-30,1296.12
2014-07-29,1299.09
2014-07-28,1303.95
2014-07-25,1306.98
2014-07-24,1293.54
2014-07-23,1304.51
2014-07-22,1306.26
2014-07-21,1312.33
2014-07-18,1310.78
2014-07-17,1319.04
2014-07-16,1299.05
2014-07-15,1293.89
2014-07-14,1307.11
2014-07-11,1338.45
2014-07-10,1335.6
2014-07-09,1327.7
2014-07-08,1319.13
2014-07-07,1319.73
2014-07-04,1319.3
2014-07-03,1319.46
2014-07-02,1326.72
2014-07-01,1326.25
2014-06-30,1327.23
2014-06-27,1316.02
2014-06-26,1316.49
2014-06-25,1319.12
2014-06-24,1318.13
2014-06-23,1317.35
2014-06-20,1314.55
2014-06-19,1320.17
2014-06-18,1277.59
2014-06-17,1270.59
2014-06-16,1271.77
2014-06-13,1276.75
2014-06-12,1273.24
2014-06-11,1260.92
2014-06-10,1259.74
2014-06-09,1252.26
2014-06-06,1253.1
2014-06-05,1253.47
2014-06-04,1243.8
2014-06-03,1244.88
2014-06-02,1243.74
2014-05-30,1249.49
2014-05-29,1255.56
2014-05-28,1258.01
2014-05-27,1264.76
2014-05-26,1301.04
2014-05-23,1292.46
2014-05-22,1294
2014-05-21,1291.92
2014-05-20,1294.09
2014-05-19,1292.97
2014-05-16,1293.28
2014-05-15,1296.07
2014-05-14,1305.87
2014-05-13,1293.57
2014-05-12,1295.81
2014-05-09,1287.66
2014-05-08,1289.39
2014-05-07,1289.85
2014-05-06,1307.87
2014-05-05,1310.19
2014-05-02,1299.45
2014-05-01,1284.23
2014-04-30,1291.5
2014-04-29,1295.82
2014-04-28,1296.49
2014-04-25,1303
2014-04-24,1293.18
2014-04-23,1283.65
2014-04-22,1283.64
2014-04-21,1289.68
2014-04-18,1294.97
2014-04-17,1295.05
2014-04-16,1302.39
2014-04-15,1302.45
2014-04-14,1327.84
2014-04-11,1317.21
2014-04-10,1318.85
2014-04-09,1311.72
2014-04-08,1308.53
2014-04-07,1297.26
2014-04-04,1303.28
2014-04-03,1286.56
2014-04-02,1289.81
2014-04-01,1278.88
2014-03-31,1283.96
2014-03-28,1295.19
2014-03-27,1291.22
2014-03-26,1304.37
2014-03-25,1310.96
2014-03-24,1308.68
2014-03-21,1334.28
2014-03-20,1327.67
2014-03-19,1329.51
2014-03-18,1355.54
2014-03-17,1366.98
2014-03-14,1382.84
2014-03-13,1370.2
2014-03-12,1366.8
2014-03-11,1348.85
2014-03-10,1339.56
2014-03-07,1340.02
2014-03-06,1350.74
2014-03-05,1336.71
2014-03-04,1334.33
2014-03-03,1350.47
2014-02-28,1326.24
2014-02-27,1331.27
2014-02-26,1330.55
2014-02-25,1340.49
2014-02-24,1336.8
2014-02-21,1324.11
2014-02-20,1322.9
2014-02-19,1311.45
2014-02-18,1321.85
2014-02-17,1328.5
2014-02-14,1318.48
2014-02-13,1302.67
2014-02-12,1290.96
2014-02-11,1291.05
2014-02-10,1274.74
2014-02-07,1267.15
2014-02-06,1258.04
2014-02-05,1257.71
2014-02-04,1254.56
2014-02-03,1257.37
2014-01-31,1244.41
2014-01-30,1243.56
2014-01-29,1267.19
2014-01-28,1256.82
2014-01-27,1256.94
2014-01-24,1269.94
2014-01-23,1263.89
2014-01-22,1237.08
2014-01-21,1241.28
2014-01-20,1252.01
2014-01-17,1253.84
2014-01-16,1242.27
2014-01-15,1241.75
2014-01-14,1245.05
2014-01-13,1253.02
2014-01-10,1248.12
2014-01-09,1227.84
2014-01-08,1225.82
2014-01-07,1231.92
2014-01-06,1237.86
2014-01-03,1236.73
2014-01-02,1224.18
2015-12-31,1060.8
2015-12-30,1061.32
2015-12-29,1068.87
2015-12-28,1069.09
2015-12-25,1075.62
2015-12-24,1075.97
2015-12-23,1070.26
2015-12-22,1072.38
2015-12-21,1078.11
2015-12-18,1066.19
2015-12-17,1051.07
2015-12-16,1072.36
2015-12-15,1061.08
2015-12-14,1060.01
2015-12-11,1074.5
2015-12-10,1071.46
2015-12-09,1072.7
2015-12-08,1074.75
2015-12-07,1071.33
2015-12-04,1086.32
2015-12-03,1061.94
2015-12-02,1053.5
2015-12-01,1069.05
2015-11-30,1064.58
2015-11-27,1058
2015-11-26,1071.82
2015-11-25,1071.2
2015-11-24,1075.43
2015-11-23,1069.14
2015-11-20,1077.9
2015-11-19,1082.16
2015-11-18,1070.62
2015-11-17,1070.25
2015-11-16,1082.85
2015-11-13,1083.82
2015-11-12,1085.1
2015-11-11,1086.24
2015-11-10,1089.61
2015-11-09,1092.18
2015-11-06,1089.63
2015-11-05,1103.84
2015-11-04,1107.74
2015-11-03,1117.64
2015-11-02,1133.62
2015-10-30,1142.1
2015-10-29,1145.86
2015-10-28,1156.15
2015-10-27,1166.74
2015-10-26,1163
2015-10-23,1164.2
2015-10-22,1166.01
2015-10-21,1167.16
2015-10-20,1176.01
2015-10-19,1170.63
2015-10-16,1176.95
2015-10-15,1183.02
2015-10-14,1184.03
2015-10-13,1168.68
2015-10-12,1163.68
2015-10-09,1155.93
2015-10-08,1138.97
2015-10-07,1145.42
2015-10-06,1147.05
2015-10-05,1135.6
2015-10-02,1137.94
2015-10-01,1113.63
2015-09-30,1114.89
2015-09-29,1127.25
2015-09-28,1131.78
2015-09-25,1146.25
2015-09-24,1153.79
2015-09-23,1130.25
2015-09-22,1124.6
